Philipps-MacBook-Pro:btc-liquidity philippbraun$ python main.py
TTT/ETH 	108.44 	4958.55
NXCT/ETH 	367.24 	5325.79
XCT/ETH 	3.19 	5328.98
PRA/ETH 	38.89 	5367.88
TEAM/ETH 	3.60 	5371.48
CAM/ETH 	75.29 	5446.76
WWB/ETH 	371.33 	5818.09
BTO/ETH 	11.93 	5830.02
SWTC/ETH 	8.05 	5838.08
===> 	bitz 	5838.08
===> 	bl3p 	0.00
ADC/ETH 	0.27 	0.27
BCH/ETH 	0.14 	0.41
BITB/ETH 	0.73 	1.14
BLK/ETH 	0.18 	1.32
BOON/ETH 	0.41 	1.74
BTC/ETH 	1.19 	2.93
BTG/ETH 	0.24 	3.16
CDN/ETH 	0.98 	4.15
DASH/ETH 	0.15 	4.30
DCR/ETH 	1.21 	5.51
DOGE/ETH 	1.44 	6.95
EEE/ETH 	4.31 	11.26
EOS/ETH 	1.51 	12.77
EPC/ETH 	0.36 	13.13
ETH/BTC 	327.49 	340.62
ETH/DOGE 	0.00 	340.62
ETH/USDT 	0.01 	340.63
FJC/ETH 	0.12 	340.75
GB/ETH 	0.25 	341.00
HTML/ETH 	13.56 	354.57
LEND/ETH 	0.16 	354.73
LTC/ETH 	0.40 	355.13
MONA/ETH 	1.13 	356.25
NBC/ETH 	0.12 	356.37
NLG/ETH 	0.31 	356.68
NMC/ETH 	0.15 	356.83
OK/ETH 	0.21 	357.04
PCN/ETH 	7.65 	364.70
POT/ETH 	0.29 	364.99
QTUM/ETH 	0.57 	365.56
RDD/ETH 	1.15 	366.70
SPX/ETH 	0.05 	366.76
TROLL/ETH 	4.08 	370.83
UNO/ETH 	2.90 	373.73
USDT/ETH 	0.36 	374.09
VEN/ETH 	0.20 	374.29
VRC/ETH 	0.30 	374.60
VTC/ETH 	0.44 	375.03
XP/ETH 	2.82 	377.85
XPM/ETH 	0.16 	378.01
===> 	bleutrade 	378.01
ETH/BRL 	0.06 	0.06
ETH/BTC 	113.85 	113.90
ETH/BCH 	0.10 	114.00
ETH/USDT 	0.00 	114.00
===> 	braziliex 	114.00
===> 	btcbox 	0.00
===> 	btcchina 	0.00
===> 	btcexchange 	0.00
ETH/AUD 	1.43 	1.43
ETH/BTC 	1567.03 	1568.46
===> 	btcmarkets 	1568.46
ETH/BTC 	539.84 	539.84
IOTX/ETH 	0.00 	539.84
LXT/ETH 	0.19 	540.02
XRP/ETH 	0.02 	540.04
EOS/ETH 	2.01 	542.05
LTC/ETH 	2.46 	544.51
HLC/ETH 	0.09 	544.60
ETC/ETH 	0.20 	544.80
ETH/USC 	609.58 	1154.38
===> 	btctradeim 	1154.38
ETH/UAH 	0.00 	0.00
===> 	btctradeua 	0.00
ETH/TRY 	0.04 	0.04
ETH/BTC 	0.00 	0.04
===> 	btcturk 	0.04
===> 	btcx 	0.00
ETH/BTC 	315.04 	315.04
ETH/USD 	0.01 	315.05
ETH/LTC 	0.11 	315.16
ETH/DOGE 	0.00 	315.16
===> 	ccex 	315.16
ETH/USD 	6.23 	6.23
ETH/EUR 	3.29 	9.52
ETH/GBP 	1.36 	10.88
ETH/BTC 	35811.48 	35822.36
===> 	cex 	35822.36
ETH/CNY 	0.16 	0.16
===> 	chbtc 	0.16
ETH/USDT 	38.34 	38.34
ETH/BTC 	208653.43 	208691.76
SAN/ETH 	70.18 	208761.94
OMG/ETH 	330.37 	209092.31
AVT/ETH 	13.73 	209106.03
EDO/ETH 	46.78 	209152.81
DATA/ETH 	155.48 	209308.30
QASH/ETH 	58.35 	209366.65
YOYOW/ETH 	16.64 	209383.28
GNT/ETH 	313.98 	209697.26
SNT/ETH 	28.51 	209725.77
